address,pubkey,value
1252Luu9Sc1KQ1yTg5ng9edbyVsXAaXfpN,,279300000
12531j88ERLFWV6aTMc6mTNDE3orzwiCHj,,699000000
125BJYWrp32t9QocCBJB8K8hRFzmBW4Ywj,,302000000
125CwvmgB4Qxz6W1Yy3SS1a1ZbYgLYrFLr,,145000000
125D81qW4UzBBmhJGPAxDyn1EZAABYgwNk,,1006600000
125FhBP2EVJDAy4TsbFDbDVsG3xPCLQpn7,,700000
125MVVwp3fwU1hNQCm3kCh2AyWheSvqJab,,1005200000
125PTnEzgQEMeiDacBHCjFnhXGJTE9nwgm,,18900000
125PvXVC4v5RUBF8gUZjSx7PLGtza8n2gj,,1007300000
125UWLGABLbdEyekmC17rUtF8tS7a5nbd5,,233386010000
125j938QU9XM4NMmW2WGLuySN1H67iJC6r,,1006600000
125jeHWQJTw4mzE7TfiqkGXV3GVPpNAHhG,,1070060000
125jhVBZfFj1x9i7DYJJWuy2xBGxSbw4NK,,17703000000
125m2GhbsRUtrUvcM4B7FzqmVqhj3gKJdw,,1007300000
125mo1PkwY4JMLbSupR9F1AnYhxJdj5SKw,,5844450000
125r7pce2fKK7Ju5g7s6nimfgNXssAPhAu,,1009400000
125uSZoEA6UxvnK2hhA4BBJ2eqZGhbC2WW,,2800000
125wPsCjpU7DDXa9CKoT7tUgspvrCdB37U,,2100000
126352xFrcYhY7wv1fWTPBcou1Yqv92inr,,1004500000
126MH5rVvCZ6KPhJQRFs9HHkDiUAsfGzit,,145129710000
126Mi7Y344tSYuhsA4YPSGGkTMsBKTBNWs,,960525220000
126b5WrGGA4weBcJc78MmBWYkbyTfXBdNR,,1004500000
126cDX3LTURpaLJ5qVeNjtLATXDtWrFTpc,,229000000
126gQkFBuM6xKtEhLkS1RPzgx9K7SeFd8s,,66330000
126hDkDkpN4Aw2Fja23vZnv2NGuAiLJzJK,,17000000000
126hsrXwpowKEgoVRa73UhX4W9xrmU3AxG,,1004500000
126iPRifTefnhgRygqGSvkJ4wvw8sKgqjB,,446000000
126j7p7FSSSroapXigPqm1WvJFcQPyiu6U,,915200000
126pgwjfQcfbvGs4uFkESNN3f1hMfjHB7E,,1095670000
126rWm96MbhkPPjdxnMp34TgerWRxoGEoz,,800000
126w8gd7XdGqhPFPGGvmW1Gif13zgzbUwr,,1004500000
1276pPjrDUVhFnXJzzyamWDM5m9UHnPjM2,,34100942555000
1277BGCFvH6Zfep4JYi1N4yGNHEqEtJt9S,,1007300000
127CHtAGcLKhudF2weUeBaQ2VbvCFkyR6e,,39000000
127KWerVBDR719qAvernddMLec42rjUn5G,,157262310000
